Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DD,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM
2020/1/2,75.09,125.85,333.32,150.53,48.42,121.43,148.2,63.5,234.32,219.66,135.42,60.84,145.97,141.09,54.99,200.79,180,92.04,160.62,102.2,39.14,123.41,137.51,292.5,96.375076,191.12,61.05,59.08,118.94,70.9
2020/1/3,74.36,124.6,332.76,148.44,47.63,121.01,146.5,62.16,231.58,218.93,134.34,60.1,144.28,138.34,54.69,200.08,178.45,91.25,158.62,101.92,38.93,122.58,137.02,289.54,96.50724,189.6,60.4,59.08,117.89,70.33
2020/1/6,74.95,124.06,333.74,148.34,47.8,120.6,145.65,61.72,233.95,219.96,134.1,59.93,144.1,138.23,54.67,202.33,178.62,91.64,159.03,101.83,38.88,122.75,137.17,291.55,96.714912,189.19,60.27,59.59,117.65,70.87
2020/1/7,74.6,123.41,337.28,146.38,47.49,119.06,145.7,60.77,235.49,218.52,134.19,58.93,144.98,135.88,54.25,202.63,177.9,89.2,157.58,101.78,38.75,121.99,135.16,289.79,96.406548,188.69,59.6,59.29,116.56,70.29
2020/1/8,75.8,125.54,331.37,147.68,47.52,117.7,145.4,61.5,237.76,221.79,135.31,58.97,144.96,136.94,54.35,205.91,180.63,88.6,160.09,101.55,39.06,122.51,136.61,295.9,96.551292,191.92,59.71,55.83,116.16,69.23
2020/1/9,77.41,127.81,336.34,147.31,47.32,117.51,144.83,60.95,242.6,225.19,136.74,59.3,145.39,137.44,55.34,208.35,181.2,89.38,162.09,101.48,38.89,123.85,137.62,294.22,96.696037,193.25,58.85,54.68,117.36,69.76
2020/1/10,77.58,127.28,329.92,146.13,47.13,116.44,144.62,59.71,242.11,224.22,136.69,58.94,145.06,136.07,55.53,207.27,180.47,89.53,161.34,100.9,39.49,123.97,135.51,295.13,95.569542,193.77,58.99,54.22,116.38,69.14
2020/1/13,79.24,128.54,330.22,146.82,47.97,116.66,143.88,60.4,245.21,223.34,136.6,59.59,145.7,137.2,56.13,206.51,180.92,89.51,163.28,102.16,39.41,124.88,136.26,285.85,95.68911,195.33,59.15,54.06,115.88,69.8
2020/1/14,78.17,128.8,332.35,146.68,47.79,116.3,145.2,60.17,245.66,222.81,135.82,59.43,146.52,138.8,56,207.32,181.37,89.93,162.13,102.92,40.07,124.69,136.65,288.24,95.368156,196.05,59.04,54.62,116.18,69.2
2020/1/15,77.83,129.82,329.8,145.57,48.01,116.13,144.32,61.14,245.21,224.59,136.62,58.94,147.01,136.72,56.7,209.77,179.78,91.54,163.18,102.79,40.67,125.96,137.57,296.41,95.632477,199.8,59.1,54.43,115.28,69.09
2020/1/16,78.81,130.55,332,147.87,49.05,116.89,145.12,61.7,249.72,228.82,137.98,59.66,148.2,137.25,56.82,210.85,181.01,91.18,166.17,103.37,40.61,126.07,138.85,300.74,96.633102,200.95,59.67,54.42,115.9,68.82
2020/1/17,79.68,131.52,324.15,147.78,49.02,115.58,144.33,61.56,249.46,231.91,138.31,59.6,149.17,138.2,56.94,211.98,181.35,90.97,167.1,104.53,40.51,126.41,140.73,298.47,97.16803,204.7,60.13,54.41,114.96,68.56
2020/1/21,79.14,130.53,313.37,145.85,48.8,113.31,143.56,61.78,245.7,232.95,139.17,60.55,149.27,136.84,57.17,211.16,179.39,89.97,166.5,104.58,40.34,126.09,140.91,300.53,97.212082,207.29,60.32,53.87,115.59,67.58
2020/1/22,79.43,131.49,309,142.63,49.06,112.9,144.01,60.78,247.05,232.9,143.89,62.73,148.25,136.68,57.61,211.44,178.03,89.65,165.7,104.49,40.19,126.31,141.34,300.59,96.784142,207.9,60.48,53.42,116.1,67.19
2020/1/23,79.81,131.37,317.79,142.75,49,113.1,142.2,60.54,245.58,233.65,142.87,63.32,148.53,136.54,57.83,213.42,177.74,88.56,166.72,103.02,40.71,124.99,134.19,299.46,96.790436,206.52,60.51,53.3,115.81,66.77
2020/1/24,79.58,135.11,323.05,140.38,48.85,111.85,140.08,59.39,241.92,232,140.56,68.47,148.32,133.15,57.68,211.24,178.15,85.98,165.04,102.03,39.82,125.14,134.78,292.81,96.406548,205,60.28,52.04,114.37,66.32
2020/1/27,77.24,130.64,316.6,135.73,47.47,110.39,135.9,57.39,238.14,231.19,138.62,65.69,148.75,132.03,57.48,209.34,175.63,86.1,162.28,100.24,40.16,125.69,133.73,284.09,95.047203,201.69,59.91,52.23,115.86,64.74
2020/1/28,79.42,132.45,316.56,136.74,47.77,111.12,138.37,57.94,242.58,233.86,139.55,67.31,149.5,134.43,57.01,210.39,165.58,86.25,165.46,100.41,38.14,126.03,134.39,285.87,96.198868,202.85,60.7,52.78,116.6,64.65
2020/1/29,81.08,131.68,322.02,135.78,47.05,110.37,136.06,57.69,240.12,234.02,137.69,66.33,150.54,134.23,57.01,214.44,162,87.24,168.04,99.84,37.58,125.06,133.27,282.9,96.173691,204.86,59.53,52.28,115.89,64.11
2020/1/30,80.97,133.22,323.3,135.37,47.24,111.4,137.81,52.72,244.13,232.79,136.77,66.47,150.36,135.89,58.86,216.18,162.51,86.5,172.78,98.19,37.07,125.95,134.2,280.98,96.916298,208.21,59.36,51.95,116.58,64.79
2020/1/31,77.38,129.87,318.27,131.35,45.97,107.14,138.31,51.18,237.75,228.1,143.73,63.93,148.87,132.36,58.4,213.97,158.66,85.44,170.23,96.3,37.24,124.62,131.62,272.45,94.524857,198.97,59.44,50.85,114.49,62.12